Minute | Consumption (W) - SCENARIO: Outside Day
---------------------------------------------
1      | 180.00         
2      | 180.00         
3      | 180.00         
4      | 180.00         
5      | 180.00         
6      | 180.00         
7      | 180.00         
8      | 180.00         
9      | 180.00         
10     | 180.00         
11     | 180.00         
12     | 180.00         
13     | 180.00         
14     | 180.00         
15     | 180.00         
16     | 180.00         
17     | 180.00         
18     | 180.00         
19     | 180.00         
20     | 180.00         
21     | 180.00         
22     | 180.00         
23     | 180.00         
24     | 180.00         
25     | 180.00         
26     | 180.00         
27     | 180.00         
28     | 180.00         
29     | 180.00         
30     | 180.00         
31     | 180.00         
32     | 180.00         
33     | 180.00         
34     | 180.00         
35     | 180.00         
36     | 180.00         
37     | 180.00         
38     | 180.00         
39     | 180.00         
40     | 180.00         
41     | 180.00         
42     | 180.00         
43     | 180.00         
44     | 180.00         
45     | 180.00         
46     | 180.00         
47     | 180.00         
48     | 180.00         
49     | 180.00         
50     | 180.00         
51     | 180.00         
52     | 180.00         
53     | 180.00         
54     | 180.00         
55     | 180.00         
56     | 180.00         
57     | 180.00         
58     | 180.00         
59     | 180.00         
60     | 180.00         
61     | 180.00         
62     | 180.00         
63     | 180.00         
64     | 180.00         
65     | 180.00         
66     | 180.00         
67     | 180.00         
68     | 180.00         
69     | 180.00         
70     | 180.00         
71     | 180.00         
72     | 180.00         
73     | 180.00         
74     | 180.00         
75     | 180.00         
76     | 180.00         
77     | 180.00         
78     | 180.00         
79     | 180.00         
80     | 180.00         
81     | 180.00         
82     | 180.00         
83     | 180.00         
84     | 180.00         
85     | 180.00         
86     | 180.00         
87     | 180.00         
88     | 180.00         
89     | 180.00         
90     | 180.00         
91     | 180.00         
92     | 180.00         
93     | 180.00         
94     | 180.00         
95     | 180.00         
96     | 180.00         
97     | 180.00         
98     | 180.00         
99     | 180.00         
100    | 180.00         
101    | 180.00         
102    | 180.00         
103    | 180.00         
104    | 180.00         
105    | 180.00         
106    | 180.00         
107    | 180.00         
108    | 180.00         
109    | 180.00         
110    | 180.00         
111    | 180.00         
112    | 180.00         
113    | 180.00         
114    | 180.00         
115    | 180.00         
116    | 180.00         
117    | 180.00         
118    | 180.00         
119    | 180.00         
120    | 180.00         
121    | 180.00         
122    | 180.00         
123    | 180.00         
124    | 180.00         
125    | 180.00         
126    | 180.00         
127    | 180.00         
128    | 180.00         
129    | 180.00         
130    | 180.00         
131    | 180.00         
132    | 180.00         
133    | 180.00         
134    | 180.00         
135    | 180.00         
136    | 180.00         
137    | 180.00         
138    | 180.00         
139    | 180.00         
140    | 180.00         
141    | 180.00         
142    | 180.00         
143    | 180.00         
144    | 180.00         
145    | 180.00         
146    | 180.00         
147    | 180.00         
148    | 180.00         
149    | 180.00         
150    | 180.00         
151    | 180.00         
152    | 180.00         
153    | 180.00         
154    | 180.00         
155    | 180.00         
156    | 180.00         
157    | 180.00         
158    | 180.00         
159    | 180.00         
160    | 180.00         
161    | 180.00         
162    | 180.00         
163    | 180.00         
164    | 180.00         
165    | 180.00         
166    | 180.00         
167    | 180.00         
168    | 180.00         
169    | 180.00         
170    | 180.00         
171    | 180.00         
172    | 180.00         
173    | 180.00         
174    | 180.00         
175    | 180.00         
176    | 180.00         
177    | 180.00         
178    | 180.00         
179    | 180.00         
180    | 180.00         
181    | 180.00         
182    | 180.00         
183    | 180.00         
184    | 180.00         
185    | 180.00         
186    | 180.00         
187    | 180.00         
188    | 180.00         
189    | 180.00         
190    | 180.00         
191    | 180.00         
192    | 180.00         
193    | 180.00         
194    | 180.00         
195    | 180.00         
196    | 180.00         
197    | 180.00         
198    | 180.00         
199    | 180.00         
200    | 180.00         
201    | 180.00         
202    | 180.00         
203    | 180.00         
204    | 180.00         
205    | 180.00         
206    | 180.00         
207    | 180.00         
208    | 180.00         
209    | 180.00         
210    | 180.00         
211    | 180.00         
212    | 180.00         
213    | 180.00         
214    | 180.00         
215    | 180.00         
216    | 180.00         
217    | 180.00         
218    | 180.00         
219    | 180.00         
220    | 180.00         
221    | 180.00         
222    | 180.00         
223    | 180.00         
224    | 180.00         
225    | 180.00         
226    | 180.00         
227    | 180.00         
228    | 180.00         
229    | 180.00         
230    | 180.00         
231    | 180.00         
232    | 180.00         
233    | 180.00         
234    | 180.00         
235    | 180.00         
236    | 180.00         
237    | 180.00         
238    | 180.00         
239    | 180.00         
240    | 180.00         
241    | 180.00         
242    | 180.00         
243    | 180.00         
244    | 180.00         
245    | 180.00         
246    | 180.00         
247    | 180.00         
248    | 180.00         
249    | 180.00         
250    | 180.00         
251    | 180.00         
252    | 180.00         
253    | 180.00         
254    | 180.00         
255    | 180.00         
256    | 180.00         
257    | 180.00         
258    | 180.00         
259    | 180.00         
260    | 180.00         
261    | 180.00         
262    | 180.00         
263    | 180.00         
264    | 180.00         
265    | 180.00         
266    | 180.00         
267    | 180.00         
268    | 180.00         
269    | 180.00         
270    | 180.00         
271    | 180.00         
272    | 180.00         
273    | 180.00         
274    | 180.00         
275    | 180.00         
276    | 180.00         
277    | 180.00         
278    | 180.00         
279    | 180.00         
280    | 180.00         
281    | 180.00         
282    | 180.00         
283    | 180.00         
284    | 180.00         
285    | 180.00         
286    | 180.00         
287    | 180.00         
288    | 180.00         
289    | 180.00         
290    | 180.00         
291    | 180.00         
292    | 180.00         
293    | 180.00         
294    | 180.00         
295    | 180.00         
296    | 180.00         
297    | 180.00         
298    | 180.00         
299    | 180.00         
300    | 180.00         
301    | 180.00         
302    | 180.00         
303    | 180.00         
304    | 180.00         
305    | 180.00         
306    | 180.00         
307    | 180.00         
308    | 180.00         
309    | 180.00         
